
File name, LOC migrated to DPC++, LOC migrated to helper functions, LOC not needed to migrate, LOC not able to migrate
/home/u177171/local/magma/sparse/blas/zgesellcmmv.cu, 150, 0, 815, 0
/home/u177171/local/magma/sparse/blas/zmergebicgstab3.cu, 53, 0, 298, 0
/home/u177171/local/magma/sparse/blas/zmgecsrmv.cu, 22, 0, 114, 0
/home/u177171/local/magma/sparse/blas/zmergeblockkrylov.cu, 14, 0, 90, 0
/home/u177171/local/magma/sparse/blas/zgeblockstruct.cu, 42, 0, 169, 0
/home/u177171/local/magma/sparse/blas/magma_zget_rowptr.cu, 8, 0, 108, 0
/home/u177171/local/magma/sparse/blas/zmgeellmv.cu, 22, 0, 115, 0
/home/u177171/local/magma/sparse/blas/zparilu_kernels.cu, 23, 0, 105, 0
/home/u177171/local/magma/sparse/blas/magma_zmconjugate.cu, 11, 0, 55, 0
/home/u177171/local/magma/sparse/blas/zgeisai_32.cu, 395, 0, 2709, 0
/home/u177171/local/magma/sparse/blas/zge3pt.cu, 14, 0, 94, 0
/home/u177171/local/magma/sparse/blas/magma_zmatrixtools_gpu.cu, 73, 0, 381, 4
/home/u177171/local/magma/sparse/blas/zcgecsrmv_mixed_prec.cu, 20, 0, 116, 0
/home/u177171/local/magma/sparse/blas/zgeisai_8.cu, 205, 0, 903, 0
/home/u177171/local/magma/sparse/blas/zpipelinedgmres.cu, 75, 0, 157, 0
/home/u177171/local/magma/sparse/blas/zgedensereimsplit.cu, 16, 0, 72, 0
/home/u177171/local/magma/sparse/blas/zgecsrmv.cu, 39, 0, 216, 0
/home/u177171/local/magma/sparse/blas/magma_zsampleselect_nodp.cu, 26, 0, 196, 0
/home/u177171/local/magma/sparse/blas/zgeisai_batched32.cu, 109, 0, 305, 0
/home/u177171/local/magma/sparse/blas/magma_sampleselect.cu, 12, 0, 52, 0
/home/u177171/local/magma/sparse/blas/zbcsrcpy.cu, 28, 0, 101, 0
/home/u177171/local/magma/sparse/blas/magma_dsampleselect_core.cu, 77, 1, 247, 0
/home/u177171/local/magma/sparse/blas/zjacobisetup.cu, 119, 0, 648, 0
/home/u177171/local/magma/sparse/blas/atomicopsmagmaDoubleComplex.h, 4, 2, 41, 0
/home/u177171/local/magma/sparse/blas/zlobpcg_residuals.cu, 28, 0, 153, 0
/home/u177171/local/magma/sparse/blas/zgecsr5mv.cu, 363, 0, 572, 0
/home/u177171/local/magma/sparse/blas/zgeellmv.cu, 41, 0, 217, 0
/home/u177171/local/magma/sparse/blas/zjaccard_weights.cu, 27, 0, 120, 0
/home/u177171/local/magma/sparse/blas/magma_zdiagcheck.cu, 14, 0, 84, 0
/home/u177171/local/magma/sparse/blas/zlag2c_sparse.cu, 53, 0, 216, 0
/home/u177171/local/magma/sparse/blas/zmergecg.cu, 561, 1, 1366, 5
/home/u177171/local/magma/sparse/blas/magma_sampleselect.h, 59, 5, 251, 0
/home/u177171/local/magma/sparse/blas/zgeellrtmv.cu, 70, 0, 226, 0
